SHITOMASI_BRISK, 84, 80, 73, 77, 74, 70, 79, 81, 72
SHITOMASI_BRIEF, 96, 93, 92, 89, 92, 93, 85, 91, 85
SHITOMASI_ORB, 86, 84, 87, 91, 87, 76, 81, 88, 88
SHITOMASI_FREAK, 66, 66, 64, 63, 62, 64, 61, 65, 63
SHITOMASI_SIFT, 112, 109, 104, 103, 99, 101, 96, 106, 97
HARRIS_BRISK, 11, 9, 10, 11, 16, 14, 12, 21, 17
HARRIS_BRIEF, 12, 12, 14, 17, 17, 16, 12, 20, 21
HARRIS_ORB, 11, 11, 14, 17, 19, 19, 13, 21, 20
HARRIS_FREAK, 11, 9, 13, 14, 13, 18, 10, 17, 18
HARRIS_SIFT, 14, 11, 16, 19, 22, 22, 13, 24, 22
FAST_BRISK, 116, 127, 114, 141, 108, 120, 130, 123, 134
FAST_BRIEF, 124, 147, 130, 151, 136, 146, 150, 148, 141
FAST_ORB, 133, 130, 130, 146, 128, 137, 136, 133, 142
FAST_FREAK, 93, 103, 89, 121, 97, 112, 114, 103, 120
FAST_SIFT, 177, 178, 168, 179, 166, 184, 176, 170, 161
BRISK_BRISK, 138, 143, 133, 143, 139, 154, 137, 150, 158
BRISK_BRIEF, 138, 166, 129, 141, 147, 155, 158, 162, 148
BRISK_ORB, 94, 107, 89, 97, 85, 115, 112, 114, 123
BRISK_FREAK, 113, 122, 113, 117, 103, 128, 136, 129, 132
BRISK_SIFT, 182, 193, 170, 183, 172, 195, 194, 176, 183
ORB_BRISK, 60, 65, 65, 76, 72, 83, 83, 73, 72
ORB_BRIEF, 37, 38, 37, 53, 42, 64, 58, 62, 59
ORB_ORB, 40, 57, 49, 54, 57, 68, 71, 62, 72
ORB_FREAK, 39, 33, 37, 40, 33, 40, 41, 39, 44
ORB_SIFT, 67, 79, 78, 79, 82, 95, 95, 94, 94
AKAZE_BRISK, 126, 112, 121, 117, 114, 119, 134, 140, 127
AKAZE_BRIEF, 108, 116, 110, 109, 116, 129, 133, 135, 131
AKAZE_ORB, 102, 96, 96, 84, 90, 116, 103, 113, 118
AKAZE_FREAK, 103, 105, 93, 99, 97, 115, 126, 118, 117
AKAZE_AKAZE, 128, 128, 125, 117, 121, 132, 137, 140, 144
AKAZE_SIFT, 134, 134, 130, 136, 137, 147, 147, 154, 151
SIFT_BRISK, 57, 63, 59, 62, 55, 52, 54, 63, 73
SIFT_BRIEF, 63, 72, 65, 67, 52, 57, 72, 67, 84
SIFT_FREAK, 59, 63, 55, 65, 51, 50, 47, 53, 65
SIFT_SIFT, 82, 81, 86, 94, 90, 81, 82, 102, 104
